iter	Logloss
0	0.6833450809
1	0.6732381868
2	0.6651571518
3	0.6574407011
4	0.6500365358
5	0.6416230275
6	0.6341561077
7	0.626108639
8	0.6184286405
9	0.6100336444
10	0.6019995884
11	0.5956458973
12	0.5906523887
13	0.5846410014
14	0.577457643
15	0.5720828136
16	0.5666543282
17	0.5622246044
18	0.5567073436
19	0.5498306293
20	0.5449064105
21	0.5407611718
22	0.5338603063
23	0.5291774632
24	0.5239422845
25	0.5202431917
26	0.5173958163
27	0.5138048629
28	0.5115172818
29	0.5092127763
30	0.5060651323
31	0.5031715377
32	0.499376077
33	0.4972474203
34	0.492807051
35	0.4894724443
36	0.4855565472
37	0.4826836626
38	0.4797347745
39	0.477816029
40	0.4750723283
41	0.4722901993
42	0.4708502718
43	0.4685215035
44	0.4654449807
45	0.4631923946
46	0.4613456924
47	0.4581255725
48	0.455948243
49	0.4537116339
50	0.4514098467
51	0.4480324194
52	0.4449543543
53	0.442560224
54	0.4410299564
55	0.4381121908
56	0.4354615045
57	0.4331417358
58	0.4319035429
59	0.4294819796
60	0.4281361772
61	0.4262005112
62	0.4235201132
63	0.4222002766
64	0.4196350754
65	0.4180905253
66	0.4153352709
67	0.4137853283
68	0.4116389312
69	0.4102022607
70	0.4088640595
71	0.406577877
72	0.4053197667
73	0.4044169703
74	0.4029136323
75	0.4005207913
76	0.3990106825
77	0.396696902
78	0.3952709081
79	0.3941588286
80	0.393185959
81	0.391841097
82	0.3901498557
83	0.3891160568
84	0.3876028678
85	0.3861335653
86	0.3848920839
87	0.3834065689
88	0.381645027
89	0.3801500152
90	0.3778651717
91	0.3768175275
92	0.3751856902
93	0.374225493
94	0.3733919901
95	0.3724470633
96	0.3713443954
97	0.3705549195
98	0.3691713096
99	0.3681732461
100	0.3663889704
101	0.364939828
102	0.3639936797
103	0.3631611394
104	0.3622683675
105	0.3612926421
106	0.360593642
107	0.3596475371
108	0.3586016767
109	0.3561313574
110	0.3549819617
111	0.3541848787
112	0.3526139779
113	0.3513300065
114	0.3490972236
115	0.347896322
116	0.3471630174
117	0.3451284121
118	0.3438827044
119	0.3424378862
120	0.3412858297
121	0.340255816
122	0.33965745
123	0.3384886515
124	0.3371337619
125	0.3358827538
126	0.3342566886
127	0.3329219941
128	0.3323016409
129	0.3313347966
130	0.3306242186
131	0.3296856573
132	0.3287513207
133	0.3273819761
134	0.3266413902
135	0.3262053528
136	0.3254366702
137	0.324961757
138	0.3244195235
139	0.3235929041
140	0.3226688036
141	0.3218508583
142	0.3205148865
143	0.3195581995
144	0.3189085904
145	0.3176203297
146	0.3167807353
147	0.3153602802
148	0.3148162218
149	0.313695747
150	0.3131093588
151	0.3124242409
152	0.3114770896
153	0.3103886685
154	0.3096382285
155	0.3086560803
156	0.3082900441
157	0.3076607715
158	0.3061319543
159	0.3055098983
160	0.3049135098
161	0.3035867488
162	0.3030404833
163	0.3028109294
164	0.3017466482
165	0.3010904423
166	0.2990496526
167	0.298152463
168	0.2967699223
169	0.2957109961
170	0.2949958529
171	0.2942452456
172	0.2930863841
173	0.2923887151
174	0.2914736924
175	0.2911244063
176	0.29035142
177	0.2896963015
178	0.2891489571
179	0.288452031
180	0.2871757162
181	0.2864181151
182	0.2849928326
183	0.2844591445
184	0.284194248
185	0.283233177
186	0.2826124132
187	0.2817384437
188	0.2811793814
189	0.2804841918
190	0.279868301
191	0.2787901284
192	0.2778437748
193	0.2772396691
194	0.2763076866
195	0.2758000989
196	0.2751724294
197	0.2744158703
198	0.2735012611
199	0.2731328607
200	0.2724364784
201	0.2717986246
202	0.2707832434
203	0.2700069959
204	0.2691051022
205	0.2682654786
206	0.2679930458
207	0.2671816612
208	0.266210232
209	0.2654422349
210	0.2647160219
211	0.2639671778
212	0.2634141901
213	0.2628384063
214	0.2621755148
215	0.2613980088
216	0.2601677704
217	0.2593213565
218	0.2587243101
219	0.2580847239
220	0.2574342253
221	0.2563301049
222	0.2553786472
223	0.2547718625
224	0.2545121755
225	0.2540154875
226	0.2531838159
227	0.2524345302
228	0.2510236627
229	0.2504120988
230	0.2494787942
231	0.2489298512
232	0.248322686
233	0.2477854575
234	0.2472565511
235	0.2466208281
236	0.2460685519
237	0.2455524337
238	0.2448979369
239	0.2446630802
240	0.2435422545
241	0.2426968765
242	0.2422275146
243	0.2412727175
244	0.2407546598
245	0.2402460606
246	0.2393723015
247	0.2391247782
248	0.2385433717
249	0.2380449332
250	0.2376902931
251	0.2367474324
252	0.236106103
253	0.2354195772
254	0.2348201567
255	0.2343457346
256	0.2338301361
257	0.2332888649
258	0.2323812171
259	0.230827008
260	0.2304470532
261	0.2299555224
262	0.2296195491
263	0.2293827045
264	0.2289388703
265	0.2286822421
266	0.2281559043
267	0.2276748918
268	0.2267889805
269	0.2263111183
270	0.2258963599
271	0.225018594
272	0.2244015726
273	0.2237028567
274	0.2229294686
275	0.2220339097
276	0.2214551469
277	0.2207279433
278	0.2199919045
279	0.2192322351
280	0.2188860222
281	0.2184998655
282	0.2173959998
283	0.2168787571
284	0.2162652403
285	0.2159048601
286	0.2153862814
287	0.2147216757
288	0.2143744478
289	0.2141365289
290	0.213555127
291	0.2131767512
292	0.2124483271
293	0.2116277209
294	0.2110094395
295	0.2100652177
296	0.208951881
297	0.2082385233
298	0.2076985694
299	0.2069251596
